Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"CINCINNATI, OH",The Christ College of Nursing and Health Sciences,Four,Private Nonprofit,City,Small,76%,$19k,$68k
"KETTERING, OH",Kettering College,Four,Private Nonprofit,City,Small,59%,$15k,$67k
"CINCINNATI, OH",Good Samaritan College of Nursing and Health Science,Two,Private Nonprofit,City,Small,81%,$23k,$66k
"BALTIMORE, MD",Notre Dame of Maryland University,Four,Private Nonprofit,City,Small,65%,$25k,$65k
"LAFAYETTE, IN",Saint Elizabeth School of Nursing,Certificate,Private Nonprofit,City,Small,38%,$28k,$65k
"FARGO, ND",North Dakota State University-Main Campus,Four,Public,City,Medium,64%,$16k,$62k
"LACEY, WA",Saint Martin's University,Four,Private Nonprofit,City,Small,62%,$23k,$62k
"LA CROSSE, WI",Viterbo University,Four,Private Nonprofit,City,Small,64%,$23k,$56k
"OMAHA, NE",College of Saint Mary,Four,Private Nonprofit,City,Small,70%,$15k,$54k
"STOCKTON, CA",Xavier College School of Nursing,Certificate,Private For-Profit,City,Small,94%,$19k,
"HANOVER, NH",Dartmouth College,Four,Private Nonprofit,Town,Medium,96%,$29k,$97k
"COLLEGE PARK, MD",University of Maryland-College Park,Four,Public,Suburban,Large,84%,$16k,$83k
"CHICAGO, IL",Illinois Institute of Technology,Four,Private Nonprofit,City,Medium,75%,$19k,$83k
"ALBANY, NY",Excelsior University,Four,Private Nonprofit,City,Medium,34%,,$78k
"INDIANAPOLIS, IN",Butler University,Four,Private Nonprofit,City,Medium,83%,$38k,$77k
"SCRANTON, PA",University of Scranton,Four,Private Nonprofit,City,Medium,79%,$31k,$75k
"WEST LAFAYETTE, IN",Purdue University-Main Campus,Four,Public,City,Large,78%,$14k,$72k
"KLAMATH FALLS, OR",Oregon Institute of Technology,Four,Public,Town,Medium,53%,$16k,$72k
"RAPID CITY, SD",South Dakota School of Mines and Technology,Four,Public,City,Medium,54%,$20k,$72k
"DENVER, CO",Regis University,Four,Private Nonprofit,City,Medium,56%,$23k,$72k
"CRAWFORDSVILLE, IN",Wabash College,Four,Private Nonprofit,Town,Small,79%,$22k,$70k
"LEWISTON, ME",Bates College,Four,Private Nonprofit,City,Small,92%,$31k,$69k
"BUFFALO, NY",D'Youville University,Four,Private Nonprofit,City,Small,68%,$20k,$67k
"CHARLOTTE, NC",Carolinas College of Health Sciences,Two,Public,City,Small,66%,,$65k
"LYNCHBURG, VA",Centra College,Two,Private Nonprofit,City,Small,80%,$25k,$60k
"WEST HARTFORD, CT",University of Saint Joseph,Four,Private Nonprofit,City,Small,66%,$27k,$60k
"KEUKA PARK, NY",Keuka College,Four,Private Nonprofit,Town,Small,64%,$26k,$58k
"PORTLAND, OR",Sumner College,Certificate,Private For-Profit,City,Small,86%,$28k,$47k
"SALT LAKE CITY, UT",Nightingale College,Four,Private For-Profit,City,Medium,69%,$29k,$27k
"LAKELAND, FL",Florida Polytechnic University,Four,Public,Rural,Small,54%,$10k,
"PROVIDENCE, RI",Brown University,Four,Private Nonprofit,City,Medium,97%,$27k,$93k
"PROVIDENCE, RI",Providence College,Four,Private Nonprofit,City,Medium,85%,$46k,$87k
"POTTSVILLE, PA",Joseph F McCloskey School of Nursing,Certificate,Private Nonprofit,Town,Small,,,$86k
"CHAMPAIGN, IL",University of Illinois Urbana-Champaign,Four,Public,City,Large,87%,$15k,$81k
"ATLANTA, GA",Emory University,Four,Private Nonprofit,City,Medium,92%,$24k,$80k
"OXFORD, GA",Emory University-Oxford College,Two,Private Nonprofit,Suburban,Small,92%,$31k,$80k
"PINE BLUFF, AR",Jefferson Regional School of Nursing,Two,Private Nonprofit,Town,Small,74%,,$74k
"MANCHESTER, NH",Saint Anselm College,Four,Private Nonprofit,Suburban,Medium,80%,$35k,$73k
"COLLEGE STATION, TX",Texas A & M University-College Station,Four,Public,City,Large,84%,$21k,$72k
"TROY, MI",Walsh College,Four,Private Nonprofit,City,Small,66%,,$72k
"SAINT LOUIS, MO",Saint Louis University,Four,Private Nonprofit,City,Medium,73%,$27k,$71k
"PITTSBURGH, PA",UPMC Mercy School of Nursing,Certificate,Private Nonprofit,City,Small,56%,$31k,$68k
"DES MOINES, IA",Mercy College of Health Sciences,Four,Private Nonprofit,City,Small,72%,$23k,$62k
"CEDAR RAPIDS, IA",Mount Mercy University,Four,Private Nonprofit,City,Small,66%,$23k,$61k
"LA CROSSE, WI",University of Wisconsin-La Crosse,Four,Public,City,Medium,71%,$15k,$60k
"WAUKESHA, WI",Carroll University,Four,Private Nonprofit,City,Medium,67%,$24k,$58k
"YAKIMA, WA",Perry Technical Institute,Certificate,Private Nonprofit,City,Small,82%,$23k,$58k
"WILLOW GROVE, PA",Eastern Center for Arts and Technology,Certificate,Public,Suburban,Small,,$21k,$56k
"MOBILE, AL",Cardiac and Vascular Institute of Ultrasound,Certificate,Private For-Profit,City,Small,,,$53k
"CHICOPEE, MA",College of Our Lady of the Elms,Four,Private Nonprofit,Suburban,Small,72%,$21k,$52k
"BROOKLYN, NY",Center for Allied Health Education,Certificate,Private For-Profit,City,Small,81%,$35k,$107k
"SALT LAKE CITY, UT",Neumont College of Computer Science,Four,Private For-Profit,City,Small,58%,$29k,$98k
"HAMILTON, NY",Colgate University,Four,Private Nonprofit,Rural,Medium,91%,$29k,$85k
"PORTLAND, OR",University of Portland,Four,Private Nonprofit,City,Medium,83%,$36k,$83k
"ROCHESTER, NY",University of Rochester,Four,Private Nonprofit,City,Medium,87%,$30k,$79k
"POUGHKEEPSIE, NY",Marist College,Four,Private Nonprofit,Suburban,Medium,80%,$40k,$78k
"LOUDONVILLE, NY",Siena College,Four,Private Nonprofit,Suburban,Medium,78%,$33k,$76k
"WASHINGTON, DC",The Catholic University of America,Four,Private Nonprofit,City,Medium,74%,$33k,$73k
"ORLANDO, FL",AdventHealth University,Four,Private Nonprofit,City,Small,55%,$32k,$72k
"CLEMSON, SC",Clemson University,Four,Public,Suburban,Large,84%,$22k,$72k
"RALEIGH, NC",North Carolina State University at Raleigh,Four,Public,City,Large,84%,$17k,$69k
"GWYNEDD VALLEY, PA",Gwynedd Mercy University,Four,Private Nonprofit,Suburban,Small,68%,$27k,$67k
"MEMPHIS, TN",The University of Tennessee Health Science Center,Four,Public,City,Small,84%,,$66k
"GRAND FORKS, ND",University of North Dakota,Four,Public,City,Medium,56%,$19k,$64k
"LORETTO, PA",Saint Francis University,Four,Private Nonprofit,Rural,Small,68%,$19k,$62k
"ATLANTA, GA",Grady Health System Professional Schools,Certificate,Public,City,Small,,,$61k
"INDIANAPOLIS, IN",Marian University,Four,Private Nonprofit,City,Medium,58%,$24k,$59k
"PLYMOUTH, IN",Marian University-Ancilla,Two,Private Nonprofit,Rural,Small,,$25k,$59k
