Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"BROOKLYN, NY",Rabbinical Academy Mesivta Rabbi Chaim Berlin,Four,Private Nonprofit,City,Small,51%,$4k,
"MONSEY, NY",Rabbinical College Beth Shraga,Two,Private Nonprofit,Suburban,Small,60%,$11k,
"STOLLINGS, WV",Ralph R Willis Career and Technical Center,Certificate,Public,Rural,Small,85%,$863,$51k
"PROVO, UT",Renaissance Academie,Certificate,Private For-Profit,City,Small,97%,$24k,$22k
"BROOKLYN, NY",Rabbinical College Bobover Yeshiva Bnei Zion,Four,Private Nonprofit,City,Small,90%,$9k,$21k
"LONG BEACH, NY",Rabbinical College of Long Island,Two,Private Nonprofit,Suburban,Small,18%,$6k,
"BROOKLYN, NY",Rabbinical College of Ohr Shimon Yisroel,Four,Private Nonprofit,City,Small,47%,$13k,
"BROOKLYN, NY",Rabbinical College Ohr Yisroel,Four,Private Nonprofit,City,Small,32%,$6k,
"WICKLIFFE, OH",Rabbinical College Telshe,Four,Private Nonprofit,Suburban,Small,27%,$9k,
"LAKEWOOD, NJ",Rabbinical Seminary Mkor Chaim,Four,Private Nonprofit,Suburban,Small,3%,$7k,
"FLUSHING, NY",Rabbinical Seminary of America,Four,Private Nonprofit,City,Small,43%,$6k,
"ELKINS, WV",Randolph Technical Center,Certificate,Public,Town,Small,67%,$10k,
"BATON ROUGE, LA",Ray J's College of Hair,Certificate,Private For-Profit,City,Small,80%,$10k,
"OAKLAND, CA",Reach University,Four,Private Nonprofit,City,Small,,$13k,
"RED LAKE, MN",Red Lake Nation College,Two,Public,Rural,Small,36%,$9k,
"GREENVILLE, TX",Redeemers University North America,Certificate,Private Nonprofit,Rural,Small,,,
"TORRANCE, CA",Redondo Beach Beauty College,Certificate,Private For-Profit,City,Small,93%,,
"DECATUR, IL",Reflections Academy of Beauty,Certificate,Private For-Profit,City,Small,47%,$21k,
"EL MONTE, CA",Regan Career Institute,Certificate,Private For-Profit,Suburban,Small,100%,,
"BOWLING GREEN, KY",Regina Webb Academy,Certificate,Private For-Profit,City,Small,,$17k,
"SOMERTON, AZ",Regional Center for Border Health,Certificate,Private Nonprofit,Town,Small,96%,,
"NEW YORK, NY",Relay Graduate School of Education,Certificate,Private Nonprofit,City,Small,70%,,
"WEST NYACK, NY",Rockland County BOCES-Practical Nursing Program,Certificate,Public,Suburban,Small,,$35k,$69k
"WYNNEWOOD, PA",Saint Charles Borromeo Seminary-Overbrook,Four,Private Nonprofit,Suburban,Small,53%,$39k,$55k
"DETROIT, MI",Sacred Heart Major Seminary,Certificate,Private Nonprofit,City,Small,65%,$10k,$49k
"ST. BENEDICT, LA",Saint Joseph Seminary College,Four,Private Nonprofit,Rural,Small,61%,$40k,$38k
"MARSHALL, MO",Saline County Career Center,Certificate,Public,Town,Small,66%,$19k,$37k
"FALL RIVER, MA",Rob Roy Academy-Fall River,Certificate,Private For-Profit,Suburban,Small,71%,$29k,$32k
"WORCESTER, MA",Rob Roy Academy-Worcester,Certificate,Private For-Profit,City,Small,79%,$23k,$30k
"NILES, IL",Rosel School of Cosmetology,Certificate,Private For-Profit,Suburban,Small,98%,$7k,$20k
"ROLLA, MO",Salem College of Hairstyling,Certificate,Private For-Profit,Town,Small,,$6k,$18k
"AGUADA, PR",Rosslyn Training Academy of Cosmetology,Certificate,Private For-Profit,Suburban,Small,,$5k,$12k
"CAPE GIRARDEAU, MO",Renaissance Beauty Academy,Certificate,Private For-Profit,City,Small,82%,$12k,
"REXBURG, ID",Rexburg College of Massage Therapy,Certificate,Private For-Profit,Town,Small,,,
"SAN DIEGO, CA",Riggins Urban Barber College,Certificate,Private For-Profit,City,Small,,$21k,
"RUSSELLVILLE, AR",River Valley School of Massage,Certificate,Private For-Profit,Town,Small,,$15k,
"NEW BEDFORD, MA",Rob Roy Academy-New Bedford,Certificate,Private For-Profit,Suburban,Small,55%,$25k,
"TAUNTON, MA",Rob Roy Academy-Taunton,Certificate,Private For-Profit,Suburban,Small,43%,$19k,
"LAKE WALES, FL",Ruben's Five Star Academy,Certificate,Private For-Profit,Suburban,Small,89%,$16k,
"SACRAMENTO, CA",Sacramento Ultrasound Institute,Certificate,Private For-Profit,City,Small,93%,$34k,
"MOUNT PLEASANT, MI",Saginaw Chippewa Tribal College,Two,Public,Town,Small,22%,$9k,
"BRIGHTON, MA",Saint John's Seminary,Four,Private Nonprofit,City,Small,79%,,
"SANTA ANA, CA",Santa Ana Beauty Academy,Certificate,Private For-Profit,City,Small,,$8k,$28k
"RIVERSIDE, CA",Salon Success Academy-Riverside,Certificate,Private For-Profit,City,Small,74%,$13k,$22k
"ADDISON, TX",Salon Boutique Academy,Certificate,Private For-Profit,Suburban,Small,89%,$20k,
"HOWELL, NJ",Salon Professional Academy,Certificate,Private For-Profit,Suburban,Small,,$22k,
"SAN ANTONIO, TX",Salon Professional Academy of San Antonio,Certificate,Private For-Profit,City,Small,83%,$16k,
"ANDOVER, KS",Sami Halaseh Institute,Certificate,Private For-Profit,Suburban,Small,,$24k,
"SAN BERNARDINO, CA",San Bernardino Beauty College,Certificate,Private For-Profit,City,Small,80%,$21k,
"SAN DIEGO, CA",San Diego Global Knowledge University,Certificate,Private For-Profit,City,Small,,,
"FREMONT, CA",San Francisco Bay University,Four,Private Nonprofit,City,Small,58%,,
"SAN FRANCISCO, CA",San Francisco Conservatory of Music,Four,Private Nonprofit,City,Small,76%,$42k,
"SAN FRANCISCO, CA",San Francisco Film School,Certificate,Private For-Profit,City,Small,77%,$31k,
"SAN FRANCISCO, CA",San Francisco School of Massage & Bodywork,Certificate,Private For-Profit,City,Small,,$22k,
"DORAL, FL",San Ignacio University,Four,Private For-Profit,City,Small,84%,$9k,
"CAGUAS, PR",San Juan Bautista School of Medicine,Four,Private Nonprofit,City,Small,45%,$8k,
"NEW TAZEWELL, TN",Sandra Academy of Salon Services,Certificate,Private For-Profit,Town,Small,38%,$7k,
"SIOUX FALLS, SD",Sanford Medical Center,Certificate,Private Nonprofit,City,Small,,,
"NORTH BETHESDA, MD",SANS Technology Institute,Certificate,Private For-Profit,City,Small,,,
"BOSTON, MA",Sattler College,Certificate,Private Nonprofit,City,Small,,,
"IONIA, MI",School of Missionary Aviation Technology,Certificate,Private Nonprofit,Rural,Small,98%,$15k,
"BRONX, NY",School of Professional Horticulture New York Botanical Garden,Certificate,Private Nonprofit,City,Small,,,
"BROCKTON, MA",Signature Healthcare Brockton Hospital School of Nursing,Certificate,Private Nonprofit,Suburban,Small,,$25k,$88k
"SALT LAKE CITY, UT",Skinworks School of Advanced Skincare,Certificate,Private For-Profit,Suburban,Small,74%,$26k,$36k
"REDDING, CA",Shasta Bible College and Graduate School,Four,Private Nonprofit,City,Small,56%,,$29k
"SEARCY, AR",Searcy Beauty College,Certificate,Private For-Profit,Town,Small,36%,$15k,$20k
"SHAWNEE, OK",Shawnee Beauty College,Certificate,Private For-Profit,Town,Small,92%,$8k,$19k
"GRAND BLANC, MI",Sharp's Academy of Hairstyling,Certificate,Private For-Profit,Suburban,Small,,,$16k
"SEATTLE, WA",Seattle Film Institute,Four,Private For-Profit,City,Small,80%,$41k,
"SELMA, AL",Selma University,Four,Private Nonprofit,Town,Small,15%,,
"LAKEWOOD, NJ",Seminary Bnos Chaim,Certificate,Private Nonprofit,City,Small,98%,$15k,
"LAWRENCE, NY",Sh'or Yoshuv Rabbinical College,Four,Private Nonprofit,Suburban,Small,4%,$12k,
"ROCHESTER, NY",Sharp Edgez Barber Institute,Certificate,Private For-Profit,City,Small,84%,$13k,
"REDDING, CA",Shasta School of Cosmetology,Certificate,Private For-Profit,City,Small,75%,$27k,
"BILLERICA, MA",Shawsheen Valley School of Practical Nursing,Certificate,Public,Suburban,Small,91%,$21k,
"ROCHESTER, NY",Shear Ego International School of Hair Design,Certificate,Private For-Profit,Suburban,Small,80%,$33k,
"JACKSONVILLE, FL",Shear Finesse Beauty Academy,Certificate,Private For-Profit,City,Small,,$22k,
"CARSON CITY, NV",Sierra Academy of Style,Certificate,Private For-Profit,City,Small,78%,$13k,
"PALO ALTO, CA",Sofia University,Four,Private For-Profit,City,Small,32%,,
"TEMPE, AZ",Sonoran Desert Institute,Certificate,Private For-Profit,City,Medium,46%,$20k,
"HOMESTEAD, FL",South Dade Technical College-South Dade Skills Center Campus,Certificate,Public,Suburban,Small,,$3k,
"PAINTSVILLE, KY",South Eastern Beauty Academy,Certificate,Private For-Profit,Town,Small,76%,,
"WHITTIER, CA",Southern California University of Health Sciences,Certificate,Private Nonprofit,Suburban,Small,70%,$46k,$71k
"DANVILLE, VA",Sovah School of Health Professions,Two,Private For-Profit,Town,Small,69%,,$70k
"ALBANY, NY",St. Peter's Hospital College of Nursing,Two,Private Nonprofit,City,Small,81%,,$63k
"EL CAJON, CA",Southern California Seminary,Four,Private Nonprofit,Suburban,Small,21%,,$40k
"LAUREL, MS",Southeastern Baptist College,Two,Private Nonprofit,Town,Small,31%,$6k,$27k
"CORPUS CHRISTI, TX",South Texas Barber College Inc,Certificate,Private For-Profit,City,Small,82%,$7k,$26k
"STAUNTON, VA",Staunton School of Cosmetology,Certificate,Private For-Profit,City,Small,65%,$12k,$23k
"DURANT, OK",Southern School of Beauty Inc,Certificate,Private For-Profit,Town,Small,78%,$2k,$10k
"CARLSBAD, NM",Southeast New Mexico College,Two,Public,Rural,Small,21%,$5k,
"WAKE FOREST, NC",Southeastern Baptist Theological Seminary,Four,Private Nonprofit,Suburban,Small,41%,$7k,
"ELGIN, SC",Southeastern Esthetics Institute,Certificate,Private For-Profit,City,Small,84%,$16k,
"WENDELL, NC",Southeastern Free Will Baptist Bible College,Four,Private Nonprofit,Rural,Small,40%,$13k,
"SOUTH EASTON, MA",Southeastern Technical Institute,Certificate,Public,Suburban,Small,67%,$12k,
"ESCONDIDO, CA",Southern California College of Barber and Beauty,Certificate,Private For-Profit,Suburban,Small,76%,$21k,
"CHARLTON, MA",Southern Worcester County Regional Vocational School District,Certificate,Public,Rural,Small,75%,$33k,
"ORANGE, CA",Sri Sai Krish Institute,Certificate,Private For-Profit,City,Small,80%,,
"NASHUA, NH",St Joseph School of Nursing,Two,Private Nonprofit,City,Small,87%,,
"MIAMI, FL",St. John Vianney College Seminary,Four,Private Nonprofit,Suburban,Small,83%,,
"ST. LOUIS, MO",St. Louis Med Tech,Certificate,Private Nonprofit,Suburban,Small,,,
"PARKER, CO",Stacey James Institute,Certificate,Private For-Profit,Suburban,Small,81%,$17k,
"ADELPHIA, NJ",Talmudical Academy-New Jersey,Four,Private Nonprofit,Suburban,Small,17%,$7k,$40k
"CRAFTSBURY COMMON, VT",Sterling College,Four,Private Nonprofit,Rural,Small,38%,$31k,$31k
"CHICAGO, IL",Steven Papageorge Hair Academy,Certificate,Private For-Profit,City,Small,80%,$13k,$30k
"HALTOM CITY, TX",Texas Beauty College,Certificate,Private For-Profit,Suburban,Small,82%,$12k,$26k
"TIGARD, OR",Summit Salon Academy-Portland,Certificate,Private For-Profit,City,Small,63%,$12k,$24k
"KNOX, IN",Taylor Institute of Cosmetology II,Certificate,Private For-Profit,Rural,Small,29%,$9k,$14k
"PORTLAND, TX",Strand Institute of Beauty & Esthetics,Certificate,Private For-Profit,Suburban,Small,89%,$27k,
"STRATFORD, CT",Stratford School for Aviation Maintenance Technicians,Certificate,Public,Suburban,Small,89%,,
"MILLINGTON, TN",Studio 75 Hair Academy,Certificate,Private For-Profit,Town,Small,,,
"SPOKANE VALLEY, WA",Studio Beauty School,Certificate,Private For-Profit,City,Small,90%,$20k,
"PHILADELPHIA, PA",Studio Incamminati,Certificate,Private Nonprofit,City,Small,,,
"NEW YORK, NY",Studio Jewelers,Certificate,Private For-Profit,City,Small,78%,$10k,
"GERING, NE",Summit Christian College,Four,Private Nonprofit,Town,Small,53%,$18k,
"SWEETWATER, TN",Sweetwater Institute of Cosmetology,Certificate,Private For-Profit,Town,Small,77%,$1k,
"MIAMI BEACH, FL",Talmudic College of Florida,Four,Private Nonprofit,City,Small,60%,$24k,
"ROCHESTER, NY",Talmudical Institute of Upstate New York,Four,Private Nonprofit,City,Small,,$4k,
"PHILADELPHIA, PA",Talmudical Yeshiva of Philadelphia,Four,Private Nonprofit,City,Small,45%,$10k,
"STOCKTON, CA",Teachers College of San Joaquin,Certificate,Public,City,Small,97%,,
"OXFORD, MA",Technology Learning Center,Certificate,Private For-Profit,Suburban,Small,,,
"CHICAGO, IL",Telshe Yeshiva-Chicago,Four,Private Nonprofit,City,Small,7%,$6k,
"ARUNDEL, ME",The Landing School,Certificate,Private Nonprofit,Rural,Small,93%,$24k,$66k
"STROUDSBURG, PA",The Beauty Institute,Certificate,Private For-Profit,Town,Small,64%,$20k,$31k
"OKLAHOMA CITY, OK",The Academy of Hair Design LLC,Certificate,Private For-Profit,City,Small,82%,$15k,$24k
"WEST PALM BEACH, FL",The Beauty Institute,Certificate,Private For-Profit,Suburban,Small,83%,$17k,$23k
"NEW YORK, NY",The Ailey School,Certificate,Private Nonprofit,City,Small,86%,$31k,$23k
"HATTIESBURG, MS",The Academy of Hair Design Six,Certificate,Private For-Profit,City,Small,,$19k,$23k
"FAYETTEVILLE, TN",The Hair Academy LLC,Certificate,Private For-Profit,Town,Small,83%,$16k,$22k
"GARDEN GROVE, CA",Thanh Le College School of Cosmetology,Certificate,Private For-Profit,Suburban,Small,65%,$21k,$13k
"BEAUMONT, TX",Texas Healthtech Institute,Certificate,Private For-Profit,City,Small,79%,$17k,
"EL PASO, TX",Texas Tech University Health Sciences Center-El Paso,Four,Public,City,Small,89%,,
"INDIANAPOLIS, IN",Textures Institute of Cosmetology,Certificate,Private For-Profit,City,Small,,$19k,
"HOLLAND, MI",The Salon Professional Academy of Holland,Certificate,Private For-Profit,Suburban,Small,83%,$14k,
"FORT WORTH, TX",The Culinary School of Fort Worth,Certificate,Private For-Profit,City,Small,80%,$24k,
"VIENNA, VA",The Esthetic Institute,Certificate,Private For-Profit,Suburban,Small,,$21k,
"NATIONAL CITY, CA",The Nurse Academy,Certificate,Private For-Profit,Suburban,Small,,,
"LAREDO, TX",The Professional Cosmetology Academy,Certificate,Private For-Profit,City,Small,55%,$12k,
"HOME, PA",The Rapha School,Certificate,Private For-Profit,Rural,Small,91%,$13k,
"AUSTIN, TX",The Recording Conservatory of Austin,Certificate,Private For-Profit,Rural,Small,65%,$29k,
"COLLEGEVILLE, PA",The Salon Professional Academy,Certificate,Private For-Profit,Suburban,Small,78%,,
"MAPLEWOOD, MN",The Salon Professional Academy Maplewood,Certificate,Private For-Profit,Suburban,Small,88%,$13k,
"MERRIMACK, NH",Thomas More College of Liberal Arts,Four,Private Nonprofit,Suburban,Small,80%,$22k,$54k
"FORT MYERS, FL",The Salon Professional Academy-Ft Myers,Certificate,Private For-Profit,City,Small,71%,$20k,$26k
"TIFFIN, OH",Tiffin Academy of Hair Design,Certificate,Private For-Profit,Town,Small,69%,$10k,$25k
"CEDAR FALLS, IA",The Salon Professional Academy-Cedar Falls,Certificate,Private For-Profit,City,Small,63%,$14k,$21k
"GEORGETOWN, TX",The Salon Professional Academy-Georgetown,Certificate,Private For-Profit,City,Small,68%,$16k,
"NASHVILLE, TN",The Salon Professional Academy-Nashville,Certificate,Private For-Profit,City,Small,83%,$13k,
"LOUISVILLE, KY",The Southern Baptist Theological Seminary,Four,Private Nonprofit,City,Small,41%,,
"FORT WORTH, TX",The Southwestern Baptist Theological Seminary,Certificate,Private Nonprofit,City,Small,61%,,
"DOWNERS GROVE, IL",The University of Aesthetics & Cosmetology,Certificate,Private For-Profit,City,Small,68%,$16k,
"HOUSTON, TX",The Vocational Nursing Institute Inc,Certificate,Private Nonprofit,City,Small,31%,$57k,
"HOLLYWOOD, CA",Theatre of Arts,Two,Private For-Profit,City,Small,56%,,
"GUILFORD, CT",TIGI Hairdressing Academy Guilford,Certificate,Private For-Profit,Suburban,Small,77%,$20k,
"NEWTOWN, CT",TIGI Hairdressing Academy Newtown,Certificate,Private For-Profit,Suburban,Small,71%,$15k,
"NEWPORT NEWS, VA",Tomorrow's Image Barber And Beauty Academy of Virginia,Certificate,Private For-Profit,City,Small,54%,$18k,
"CRANSTON, RI",Toni & Guy Hairdressing Academy-Cranston,Certificate,Private For-Profit,Suburban,Small,73%,$18k,
"WORCESTER, MA",Toni & Guy Hairdressing Academy-Worcester,Certificate,Private For-Profit,City,Small,85%,$35k,
"TEXARKANA, TX",Tonsorial Arts Barber College,Certificate,Private For-Profit,City,Small,46%,$19k,
"TOOELE, UT",Tooele Technical College,Certificate,Public,Town,Small,63%,,
"CHARLESTON, SC",Top of the Line Barber College,Certificate,Private For-Profit,City,Small,36%,$14k,
"SAN ANTONIO, TX",Top of the Line Barber School,Certificate,Private For-Profit,City,Small,,$24k,
"SOUTH POINT, OH",Tri-State Bible College,Two,Private Nonprofit,Suburban,Small,29%,,$32k
"JACKSONVILLE, FL",Trendsetters School of Beauty & Barbering,Certificate,Private For-Profit,City,Small,69%,,$25k
"UNION CITY, NJ",Total Image Beauty Academy,Certificate,Private For-Profit,Suburban,Small,80%,$13k,$19k
"CHANDLER, AZ",Turning Point Beauty College,Certificate,Private For-Profit,Rural,Small,90%,$14k,$18k
"JACKSON, MS",Traxlers School of Hair,Certificate,Private For-Profit,City,Small,,$11k,$16k
"SAN ANTONIO, TX",UCAS University of Cosmetology Arts & Sciences,Certificate,Private For-Profit,City,Small,,,$14k
"STATEN ISLAND, NY",Torah Temimah Talmudical Seminary,Four,Private Nonprofit,City,Small,29%,$20k,
"JACKSONVILLE, FL",Total Beauty Institute,Certificate,Private Nonprofit,City,Small,,$13k,
"SAN MARCOS, TX",Total Transformation Institute of Cosmetology,Certificate,Private For-Profit,City,Small,75%,$17k,
"FLUSHING, NY",Transitions Career Institute School of Nursing,Certificate,Private For-Profit,City,Small,75%,$38k,
"VERO BEACH, FL",Treasure Coast Technical College,Certificate,Public,Suburban,Small,92%,$7k,
"CALUMET CITY, IL",Trenz Beauty Academy,Certificate,Private For-Profit,Suburban,Small,54%,,
"FRANKLIN, MA",Tri County Regional Vocational Technical High School,Certificate,Public,Suburban,Small,88%,$26k,
"COVINA, CA",Tri-Community Adult Education,Certificate,Public,Suburban,Small,,,
"FORT COLLINS, CO",Tuana European Beauty Academy,Certificate,Private For-Profit,City,Small,,$17k,
"STERLING HEIGHTS, MI",U.S. Truck Driver Training School,Certificate,Private For-Profit,Suburban,Small,97%,$13k,
"ROYAL PALM BEACH, FL",Ultrasound Medical Institute,Two,Private For-Profit,Suburban,Small,70%,,
"WESTFIELD, IN",Union Bible College,Certificate,Private Nonprofit,Suburban,Small,47%,$7k,
"MIRAMAR, FL",United International College,Four,Private For-Profit,Suburban,Small,94%,,
"USAF ACADEMY, CO",United States Air Force Academy,Four,Public,Rural,Medium,92%,,
"CLARKSBURG, WV",United Technical Center,Certificate,Public,Town,Small,78%,$3k,$49k
"LAUDERHILL, FL",University of Fort Lauderdale,Four,Private Nonprofit,Suburban,Small,74%,$15k,$38k
"OMAHA, NE",Universal College of Healing Arts,Certificate,Private For-Profit,City,Small,87%,$21k,$29k
"EL DORADO, AR",University of Aesthetics & Cosmetology,Certificate,Private For-Profit,Town,Small,41%,$12k,$27k
"LOS ANGELES, CA",Universal College of Beauty Inc-Los Angeles 2,Certificate,Private For-Profit,City,Small,,$19k,$18k
"NEW LONDON, CT",United States Coast Guard Academy,Four,Public,City,Small,89%,,
"WEST POINT, NY",United States Military Academy,Four,Public,Town,Medium,84%,,
"ANNAPOLIS, MD",United States Naval Academy,Four,Public,Suburban,Medium,90%,,
"DES MOINES, IA",UnityPoint Health-Des Moines School of Radiologic Technology,Certificate,Private Nonprofit,City,Small,,,
"LOS ANGELES, CA",Universal Healthcare Careers College,Certificate,Private For-Profit,City,Small,92%,$34k,
"TUSCALOOSA, AL",University Academy of Hair Design,Certificate,Private For-Profit,City,Small,77%,$11k,
"MILPITAS, CA",University of Silicon Andhra,Certificate,Private Nonprofit,City,Small,,,
